K,link_latency,bandwidth,chunk_size,chunks_per_collective,max_runtime,mean_runtime,median_runtime,std_dev_runtime,variance_runtime
2,500,1,6000,3,7329210,7145979.75,7329210.0,317364.1024835473,100719973545.1875
2,500,1,6000,4,15632992,14411664.5,15144461.0,1601755.9998578904,2565622283080.75
2,500,1,6500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,6500,2,3421467,3177076.5,3177076.5,244390.5,59726716490.25
2,500,1,6500,3,7329210,6962749.5,6962749.5,366460.5,134293298060.25
2,500,1,6500,4,13678868,12701806.0,12701806.0,977062.0,954650151844.0
2,500,1,7000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,7000,2,3910248,3665857.5,3665857.5,244390.5,59726716490.25
2,500,1,7000,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,7000,4,13678868,12701806.0,12701806.0,977062.0,954650151844.0
2,500,1,7500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,7500,2,2932686,2932686.0,2932686.0,0.0,0.0
2,500,1,7500,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,7500,4,13678868,12946071.5,13190337.0,810137.0127285569,656321979392.75
2,500,1,8000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,8000,2,2932686,2932686.0,2932686.0,0.0,0.0
2,500,1,8000,3,8795052,8062131.0,8428591.5,897641.2358851949,805759788361.5
2,500,1,8000,4,13678868,12701806.0,12701806.0,977062.0,954650151844.0
2,500,1,8500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,8500,2,2932686,2932686.0,2932686.0,0.0,0.0
2,500,1,8500,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,8500,4,12701806,12213275.0,12213275.0,488531.0,238662537961.0
2,500,1,9000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,9000,2,3421467,3177076.5,3177076.5,244390.5,59726716490.25
2,500,1,9000,3,7329210,6962749.5,6962749.5,366460.5,134293298060.25
2,500,1,9000,4,12701806,12213275.0,12213275.0,488531.0,238662537961.0
2,500,1,9500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,9500,2,2932686,2932686.0,2932686.0,0.0,0.0
2,500,1,9500,3,7329210,6962749.5,6962749.5,366460.5,134293298060.25
